course_name,institute_name,location,format,faculty,language,dates,duration,suitable_for,fees,availability,source_url
DEOA (E&M)Data Entry and Office Automation (English & Malayalam) - 2023 SchemeNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,15/09/2025,4 Months,Not Available,7000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DEOAData Entry and Office Automation - 2023 SchemeNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,23/08/2025,3 Months,Not Available,5000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DCFADiploma In Computerized Financial Accounting - 2023 SchemeNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,6 Months,Not Available,10000,Not Available,https://lbscentre.kerala.gov.in/services/courses
TallyComputerized Financial Accounting and GST Using Tally - 2023 SchemeNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,3 Months,Not Available,5000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DEOA(M)Data Entry and Office Automation (Malayalam)New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,31/08/2025,1 Month,Not Available,2000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DMPTTDiploma in Mobile Phone Technology and TroubleshootingNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,3 Month,Not Available,6000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DOETMTDigital Office Essentials with Tally and Malayalam Typing SkillsNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,3 Month,Not Available,6000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DCA(S)-2023Diploma in Computer Application (Software) - Scheme 2023New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,31/08/2025,6 Months,Not Available,10000,Not Available,https://lbscentre.kerala.gov.in/services/courses
PGDCA-2023Post Graduate Diploma in Computer Application - Scheme 2023  ( * for Degree Holders )New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,1 Year,Not Available,25000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DCA-2023Diploma in Computer Application - Scheme 2023New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,25/08/2025,1 Year,Not Available,15000,Not Available,https://lbscentre.kerala.gov.in/services/courses
IDCHMN-2023Integrated Diploma in Computer Hardware Maintenance and Networking - Scheme 2023New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,25/08/2025,1 Year,Not Available,18000,Not Available,https://lbscentre.kerala.gov.in/services/courses
PDCA-2023Post  Diploma in Computer Application - Scheme 2023 ( * for 3 year Polytechnic Diploma Holders )New,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,20/09/2025,1 Year,Not Available,25000,Not Available,https://lbscentre.kerala.gov.in/services/courses
ACArabic ComputingNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,30/09/2025,60 hrs,Not Available,2000,Not Available,https://lbscentre.kerala.gov.in/services/courses
DLSDiploma in Logistics and Supply Chain ManagementNew,LBS Centre for Science & Technology,Not Available,Online Application Available,Not Available,English,25/08/2025,12 MONTHS,Not Available,25000,Not Available,https://lbscentre.kerala.gov.in/services/courses
ARCH 03 - The Filoli Estate: An Architectural Exploration,Stanford University,Not Available,Off-campus,Not Available,English,FA (S),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"ARTH 49 - Great Baroque Masters: Caravaggio, Rembrandt, and Vermeer",Stanford University,Not Available,On-campus,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
